Description,Amount,Type,Account
Allstate Premium,-207.21,Debit,Insurance Expense
Geico Auto Insurance Online,-394.05,Debit,Insurance Expense
Liberty Mutual Auto - NY,-51.86,Debit,Insurance Expense
State Farm Policy #3141,-148.26,Debit,Insurance Expense
Progressive Insurance - NY,-491.03,Debit,Insurance Expense
State Farm Policy,-324.88,Debit,Insurance Expense
Geico Auto Insurance (2/26/2025),-214.58,Debit,Insurance Expense
Allstate Premium In-store,-325.05,Debit,Insurance Expense
Allstate Premium #6073,-402.66,Debit,Insurance Expense
Liberty Mutual Auto - NY,-332.34,Debit,Insurance Expense
Farmers Insurance Online,-58.31,Debit,Insurance Expense
Allstate Premium #7718,-161.59,Debit,Insurance Expense
Liberty Mutual Auto - NY,-281.9,Debit,Insurance Expense
Progressive Insurance #2155,-204.58,Debit,Insurance Expense
Geico Auto Insurance,-215.29,Debit,Insurance Expense
State Farm Policy #8762,-35.93,Debit,Insurance Expense
Geico Auto Insurance In-store,-205.95,Debit,Insurance Expense
Allstate Premium (1/20/2025),-96.52,Debit,Insurance Expense
Progressive Insurance #9718,-251.87,Debit,Insurance Expense
Progressive Insurance,-485.17,Debit,Insurance Expense
Farmers Insurance - TX,-137.61,Debit,Insurance Expense
State Farm Policy (3/25/2025),-419.36,Debit,Insurance Expense
Allstate Premium (7/17/2025),-494.58,Debit,Insurance Expense
Allstate Premium In-store,-62.7,Debit,Insurance Expense
Farmers Insurance - NY,-55.47,Debit,Insurance Expense
State Farm Policy,-277.01,Debit,Insurance Expense
State Farm Policy (2/8/2025),-133.51,Debit,Insurance Expense
Geico Auto Insurance - TX,-329.2,Debit,Insurance Expense
Allstate Premium #1271,-140.85,Debit,Insurance Expense
State Farm Policy,-421.9,Debit,Insurance Expense
Allstate Premium (8/19/2025),-417.59,Debit,Insurance Expense
Farmers Insurance - CA,-418.55,Debit,Insurance Expense
Liberty Mutual Auto Online,-465.92,Debit,Insurance Expense
Allstate Premium #2683,-499.94,Debit,Insurance Expense
Farmers Insurance (6/2/2025),-248.41,Debit,Insurance Expense
Allstate Premium,-194.43,Debit,Insurance Expense
State Farm Policy - TX,-378.26,Debit,Insurance Expense
Geico Auto Insurance #2553,-89.13,Debit,Insurance Expense
Geico Auto Insurance (3/12/2025),-98.52,Debit,Insurance Expense
Liberty Mutual Auto (3/7/2025),-479.93,Debit,Insurance Expense
State Farm Policy (5/23/2025),-10.88,Debit,Insurance Expense
Liberty Mutual Auto In-store,-429.86,Debit,Insurance Expense
Liberty Mutual Auto #8153,-453.77,Debit,Insurance Expense
Progressive Insurance - NY,-74.82,Debit,Insurance Expense
Liberty Mutual Auto #8860,-219.03,Debit,Insurance Expense
Farmers Insurance (2/20/2025),-293.52,Debit,Insurance Expense
Progressive Insurance (5/28/2025),-380.2,Debit,Insurance Expense
Farmers Insurance #9595,-433.06,Debit,Insurance Expense
Allstate Premium #7803,-412.24,Debit,Insurance Expense
Farmers Insurance - NY,-100.57,Debit,Insurance Expense
State Farm Policy In-store,-456.23,Debit,Insurance Expense
Geico Auto Insurance - NY,-75.1,Debit,Insurance Expense
Progressive Insurance (11/11/2025),-128.62,Debit,Insurance Expense
Farmers Insurance - NY,-170.96,Debit,Insurance Expense
Liberty Mutual Auto In-store,-124.4,Debit,Insurance Expense
Progressive Insurance (7/18/2025),-480.58,Debit,Insurance Expense
Geico Auto Insurance,-390.65,Debit,Insurance Expense
Progressive Insurance - NY,-328.43,Debit,Insurance Expense
Geico Auto Insurance,-60.71,Debit,Insurance Expense
Geico Auto Insurance (6/20/2025),-225.14,Debit,Insurance Expense
Farmers Insurance,-256.7,Debit,Insurance Expense
Farmers Insurance In-store,-203.09,Debit,Insurance Expense
Progressive Insurance - NY,-67.68,Debit,Insurance Expense
Farmers Insurance - TX,-20.25,Debit,Insurance Expense
Liberty Mutual Auto #6482,-62.39,Debit,Insurance Expense
Allstate Premium Online,-317.76,Debit,Insurance Expense
State Farm Policy - NY,-328.31,Debit,Insurance Expense
State Farm Policy - NY,-398.57,Debit,Insurance Expense
Liberty Mutual Auto #4746,-155.92,Debit,Insurance Expense
Geico Auto Insurance - TX,-230.8,Debit,Insurance Expense
Farmers Insurance #8567,-294.65,Debit,Insurance Expense
Liberty Mutual Auto (1/7/2025),-33.76,Debit,Insurance Expense
Progressive Insurance,-215.96,Debit,Insurance Expense
Geico Auto Insurance - CA,-135.25,Debit,Insurance Expense
Progressive Insurance,-66.96,Debit,Insurance Expense
Progressive Insurance #7105,-41.43,Debit,Insurance Expense
Farmers Insurance In-store,-91.27,Debit,Insurance Expense
Geico Auto Insurance - NY,-385.23,Debit,Insurance Expense
Geico Auto Insurance In-store,-353.86,Debit,Insurance Expense
Geico Auto Insurance Online,-105.31,Debit,Insurance Expense
State Farm Policy - CA,-218.86,Debit,Insurance Expense
Progressive Insurance (5/21/2025),-254.6,Debit,Insurance Expense
Progressive Insurance - CA,-328.26,Debit,Insurance Expense
Farmers Insurance In-store,-192.04,Debit,Insurance Expense
Allstate Premium,-354.01,Debit,Insurance Expense
State Farm Policy - TX,-364.44,Debit,Insurance Expense
Allstate Premium #6537,-412.26,Debit,Insurance Expense
Farmers Insurance In-store,-84.43,Debit,Insurance Expense
State Farm Policy (5/21/2025),-311.17,Debit,Insurance Expense
Progressive Insurance Online,-231.66,Debit,Insurance Expense
Allstate Premium - CA,-329.1,Debit,Insurance Expense
Farmers Insurance #3534,-69.96,Debit,Insurance Expense
Farmers Insurance In-store,-186.52,Debit,Insurance Expense
Allstate Premium - CA,-127.36,Debit,Insurance Expense
State Farm Policy,-116.54,Debit,Insurance Expense
Farmers Insurance (9/14/2025),-193.79,Debit,Insurance Expense
Geico Auto Insurance,-145.35,Debit,Insurance Expense
Progressive Insurance #9570,-60.84,Debit,Insurance Expense
State Farm Policy (11/1/2025),-112.14,Debit,Insurance Expense
Allstate Premium (8/8/2025),-174.22,Debit,Insurance Expense
Geico Auto Insurance In-store,-218.08,Debit,Insurance Expense
Allstate Premium,-445.12,Debit,Insurance Expense
State Farm Policy - CA,-121.11,Debit,Insurance Expense
Progressive Insurance - NY,-282.29,Debit,Insurance Expense
Farmers Insurance (7/6/2025),-363.51,Debit,Insurance Expense
Geico Auto Insurance In-store,-52.25,Debit,Insurance Expense
Allstate Premium - TX,-211.09,Debit,Insurance Expense
Liberty Mutual Auto (2/28/2025),-263.96,Debit,Insurance Expense
Geico Auto Insurance,-466.41,Debit,Insurance Expense
Allstate Premium #7578,-218.94,Debit,Insurance Expense
Allstate Premium Online,-52.91,Debit,Insurance Expense
Progressive Insurance - NY,-314.14,Debit,Insurance Expense
Allstate Premium #5710,-349.3,Debit,Insurance Expense
Allstate Premium - NY,-373.76,Debit,Insurance Expense
State Farm Policy - CA,-378.17,Debit,Insurance Expense
State Farm Policy In-store,-262.71,Debit,Insurance Expense
Liberty Mutual Auto (12/18/2025),-400.6,Debit,Insurance Expense
Farmers Insurance (4/13/2025),-266.92,Debit,Insurance Expense
Geico Auto Insurance #1723,-367.5,Debit,Insurance Expense
Farmers Insurance - NY,-100.46,Debit,Insurance Expense
Farmers Insurance,-225.3,Debit,Insurance Expense
State Farm Policy In-store,-61.96,Debit,Insurance Expense
Allstate Premium,-292.26,Debit,Insurance Expense
Geico Auto Insurance #6254,-410.34,Debit,Insurance Expense
Progressive Insurance (4/22/2025),-165.99,Debit,Insurance Expense
Liberty Mutual Auto - CA,-303.55,Debit,Insurance Expense
Liberty Mutual Auto #5331,-141.56,Debit,Insurance Expense
Allstate Premium,-499.92,Debit,Insurance Expense
Farmers Insurance (1/25/2025),-302.68,Debit,Insurance Expense
Geico Auto Insurance #7458,-327.91,Debit,Insurance Expense
Liberty Mutual Auto (5/23/2025),-96.42,Debit,Insurance Expense
Progressive Insurance - TX,-198.34,Debit,Insurance Expense
State Farm Policy - NY,-48.65,Debit,Insurance Expense
Progressive Insurance #9914,-371.97,Debit,Insurance Expense
Liberty Mutual Auto #3696,-462.4,Debit,Insurance Expense
Allstate Premium In-store,-274.16,Debit,Insurance Expense
Geico Auto Insurance #8102,-254.48,Debit,Insurance Expense
Farmers Insurance,-468.7,Debit,Insurance Expense
Progressive Insurance,-463.4,Debit,Insurance Expense
Progressive Insurance In-store,-162.33,Debit,Insurance Expense
Farmers Insurance (2/13/2025),-7.2,Debit,Insurance Expense
Liberty Mutual Auto (12/7/2025),-26.52,Debit,Insurance Expense
Allstate Premium #9180,-381.03,Debit,Insurance Expense
Allstate Premium (3/28/2025),-44.2,Debit,Insurance Expense
Geico Auto Insurance #6829,-173.08,Debit,Insurance Expense
Farmers Insurance - CA,-158.03,Debit,Insurance Expense
Farmers Insurance - CA,-48.27,Debit,Insurance Expense
Liberty Mutual Auto (11/22/2025),-193.99,Debit,Insurance Expense
State Farm Policy #8349,-182.35,Debit,Insurance Expense
Progressive Insurance #3314,-300.15,Debit,Insurance Expense
Liberty Mutual Auto Online,-215.71,Debit,Insurance Expense
State Farm Policy (11/20/2025),-441.84,Debit,Insurance Expense
State Farm Policy #6665,-37.68,Debit,Insurance Expense
State Farm Policy #1399,-198.84,Debit,Insurance Expense
Liberty Mutual Auto,-45.13,Debit,Insurance Expense
Geico Auto Insurance #5330,-264.98,Debit,Insurance Expense
Allstate Premium,-12.42,Debit,Insurance Expense
State Farm Policy,-401.74,Debit,Insurance Expense
Geico Auto Insurance - CA,-321.88,Debit,Insurance Expense
Progressive Insurance - TX,-446.68,Debit,Insurance Expense
State Farm Policy #8638,-66.84,Debit,Insurance Expense
Allstate Premium - CA,-64.66,Debit,Insurance Expense
State Farm Policy,-320.99,Debit,Insurance Expense
Liberty Mutual Auto In-store,-404.92,Debit,Insurance Expense
Progressive Insurance,-266.65,Debit,Insurance Expense
Allstate Premium In-store,-66.9,Debit,Insurance Expense
Allstate Premium - TX,-25.7,Debit,Insurance Expense
State Farm Policy #6453,-23.68,Debit,Insurance Expense
State Farm Policy,-373.73,Debit,Insurance Expense
Liberty Mutual Auto (11/8/2025),-37.51,Debit,Insurance Expense
Progressive Insurance - NY,-8.23,Debit,Insurance Expense
Allstate Premium,-39.22,Debit,Insurance Expense
Progressive Insurance (10/15/2025),-303.15,Debit,Insurance Expense
State Farm Policy,-9.96,Debit,Insurance Expense
Allstate Premium #4602,-69.12,Debit,Insurance Expense
State Farm Policy In-store,-183.1,Debit,Insurance Expense
Geico Auto Insurance (5/10/2025),-311.61,Debit,Insurance Expense
Allstate Premium Online,-24.63,Debit,Insurance Expense
Liberty Mutual Auto In-store,-63.26,Debit,Insurance Expense
Allstate Premium,-459.25,Debit,Insurance Expense
State Farm Policy,-348.57,Debit,Insurance Expense
Farmers Insurance Online,-47.38,Debit,Insurance Expense
Allstate Premium - NY,-53.42,Debit,Insurance Expense
Farmers Insurance #5342,-313.86,Debit,Insurance Expense
Progressive Insurance In-store,-165.9,Debit,Insurance Expense
Progressive Insurance (1/6/2025),-281.92,Debit,Insurance Expense
Liberty Mutual Auto #3775,-493.81,Debit,Insurance Expense
Allstate Premium In-store,-411.15,Debit,Insurance Expense
Geico Auto Insurance In-store,-470.48,Debit,Insurance Expense
Allstate Premium - NY,-85.62,Debit,Insurance Expense
Liberty Mutual Auto (1/2/2025),-232.28,Debit,Insurance Expense
Farmers Insurance (2/21/2025),-141.28,Debit,Insurance Expense
Farmers Insurance #7194,-301.84,Debit,Insurance Expense
Progressive Insurance Online,-151.53,Debit,Insurance Expense
Progressive Insurance,-381.63,Debit,Insurance Expense
Geico Auto Insurance,-54.0,Debit,Insurance Expense
Allstate Premium In-store,-135.97,Debit,Insurance Expense
Farmers Insurance #2372,-454.44,Debit,Insurance Expense
State Farm Policy Online,-185.79,Debit,Insurance Expense
Farmers Insurance #5274,-6.03,Debit,Insurance Expense
Allstate Premium (1/7/2025),-47.35,Debit,Insurance Expense
Allstate Premium In-store,-465.01,Debit,Insurance Expense
Geico Auto Insurance - NY,-252.48,Debit,Insurance Expense
Geico Auto Insurance #1579,-466.81,Debit,Insurance Expense
Farmers Insurance,-175.69,Debit,Insurance Expense
Geico Auto Insurance (2/20/2025),-218.77,Debit,Insurance Expense
Progressive Insurance In-store,-99.88,Debit,Insurance Expense
Progressive Insurance #5943,-221.71,Debit,Insurance Expense
Progressive Insurance Online,-383.09,Debit,Insurance Expense
Farmers Insurance (10/15/2025),-481.03,Debit,Insurance Expense
Farmers Insurance In-store,-154.77,Debit,Insurance Expense
Progressive Insurance (7/13/2025),-259.09,Debit,Insurance Expense
Farmers Insurance #6227,-229.34,Debit,Insurance Expense
Progressive Insurance Online,-84.51,Debit,Insurance Expense
Allstate Premium #3691,-157.99,Debit,Insurance Expense
Allstate Premium (8/28/2025),-236.22,Debit,Insurance Expense
Geico Auto Insurance In-store,-8.39,Debit,Insurance Expense
Liberty Mutual Auto #9371,-324.39,Debit,Insurance Expense
Liberty Mutual Auto,-174.71,Debit,Insurance Expense
State Farm Policy (3/18/2025),-37.03,Debit,Insurance Expense
State Farm Policy - TX,-482.64,Debit,Insurance Expense
Farmers Insurance (2/26/2025),-50.05,Debit,Insurance Expense
Liberty Mutual Auto #3897,-475.1,Debit,Insurance Expense
Geico Auto Insurance (12/8/2025),-471.88,Debit,Insurance Expense
Allstate Premium (6/20/2025),-111.8,Debit,Insurance Expense
Allstate Premium #1975,-360.18,Debit,Insurance Expense
Allstate Premium #4553,-491.87,Debit,Insurance Expense
Allstate Premium #8125,-158.44,Debit,Insurance Expense
Allstate Premium (4/8/2025),-34.14,Debit,Insurance Expense
Farmers Insurance In-store,-260.03,Debit,Insurance Expense
Allstate Premium In-store,-292.76,Debit,Insurance Expense
Geico Auto Insurance (5/15/2025),-90.95,Debit,Insurance Expense
Geico Auto Insurance #1224,-230.23,Debit,Insurance Expense
Farmers Insurance,-297.7,Debit,Insurance Expense
Farmers Insurance - NY,-455.09,Debit,Insurance Expense
Liberty Mutual Auto #8186,-70.77,Debit,Insurance Expense
Farmers Insurance,-420.2,Debit,Insurance Expense
Allstate Premium (2/10/2025),-237.99,Debit,Insurance Expense
Liberty Mutual Auto,-15.58,Debit,Insurance Expense
Farmers Insurance - NY,-468.72,Debit,Insurance Expense
Progressive Insurance Online,-42.28,Debit,Insurance Expense
Farmers Insurance #5777,-302.3,Debit,Insurance Expense
State Farm Policy (3/9/2025),-338.0,Debit,Insurance Expense
State Farm Policy #5658,-172.75,Debit,Insurance Expense
Allstate Premium,-483.75,Debit,Insurance Expense
Allstate Premium,-335.04,Debit,Insurance Expense
Liberty Mutual Auto In-store,-143.59,Debit,Insurance Expense
Farmers Insurance #6803,-341.46,Debit,Insurance Expense
Geico Auto Insurance (11/28/2025),-448.31,Debit,Insurance Expense
Progressive Insurance - CA,-256.47,Debit,Insurance Expense
Geico Auto Insurance In-store,-126.44,Debit,Insurance Expense
Geico Auto Insurance,-277.93,Debit,Insurance Expense
Allstate Premium #5129,-307.64,Debit,Insurance Expense
Allstate Premium - NY,-30.23,Debit,Insurance Expense
Geico Auto Insurance,-343.24,Debit,Insurance Expense
Allstate Premium (5/5/2025),-177.13,Debit,Insurance Expense
Progressive Insurance - TX,-185.53,Debit,Insurance Expense
Farmers Insurance (2/1/2025),-368.28,Debit,Insurance Expense
Geico Auto Insurance (4/18/2025),-20.35,Debit,Insurance Expense
Liberty Mutual Auto (6/10/2025),-111.77,Debit,Insurance Expense
Progressive Insurance (7/2/2025),-276.48,Debit,Insurance Expense
Allstate Premium #7695,-208.03,Debit,Insurance Expense
Geico Auto Insurance (8/13/2025),-455.84,Debit,Insurance Expense
Allstate Premium (4/22/2025),-309.61,Debit,Insurance Expense
Geico Auto Insurance Online,-139.75,Debit,Insurance Expense
Progressive Insurance - NY,-483.36,Debit,Insurance Expense
Geico Auto Insurance #6761,-368.75,Debit,Insurance Expense
Farmers Insurance (3/10/2025),-257.86,Debit,Insurance Expense
Farmers Insurance Online,-436.77,Debit,Insurance Expense
State Farm Policy In-store,-286.65,Debit,Insurance Expense
State Farm Policy Online,-336.19,Debit,Insurance Expense
Progressive Insurance #5700,-67.28,Debit,Insurance Expense
Farmers Insurance,-475.82,Debit,Insurance Expense
Geico Auto Insurance In-store,-289.97,Debit,Insurance Expense
Progressive Insurance (10/6/2025),-224.68,Debit,Insurance Expense
Liberty Mutual Auto,-51.76,Debit,Insurance Expense
Geico Auto Insurance #1926,-282.66,Debit,Insurance Expense
Geico Auto Insurance Online,-360.93,Debit,Insurance Expense
State Farm Policy #7271,-419.74,Debit,Insurance Expense
Allstate Premium (6/2/2025),-468.91,Debit,Insurance Expense
Allstate Premium In-store,-452.61,Debit,Insurance Expense
Geico Auto Insurance (1/3/2025),-252.44,Debit,Insurance Expense
Farmers Insurance,-422.1,Debit,Insurance Expense
Progressive Insurance #2728,-430.71,Debit,Insurance Expense
Liberty Mutual Auto #2783,-79.56,Debit,Insurance Expense
State Farm Policy (6/12/2025),-29.42,Debit,Insurance Expense
Farmers Insurance (4/14/2025),-471.94,Debit,Insurance Expense
Geico Auto Insurance (11/13/2025),-479.02,Debit,Insurance Expense
Farmers Insurance In-store,-163.09,Debit,Insurance Expense
Progressive Insurance - CA,-390.26,Debit,Insurance Expense
Allstate Premium - CA,-372.28,Debit,Insurance Expense
State Farm Policy (11/4/2025),-334.06,Debit,Insurance Expense
Allstate Premium - NY,-225.44,Debit,Insurance Expense
Liberty Mutual Auto,-141.16,Debit,Insurance Expense
Farmers Insurance Online,-475.91,Debit,Insurance Expense
Geico Auto Insurance - CA,-284.57,Debit,Insurance Expense
Progressive Insurance,-240.38,Debit,Insurance Expense
Farmers Insurance (10/28/2025),-120.38,Debit,Insurance Expense
Allstate Premium,-96.69,Debit,Insurance Expense
Best Buy Monitor (1/14/2025),-224.16,Debit,Office Supplies
Target Office Chair,-381.92,Debit,Office Supplies
OfficeMax Paper Supplies #7154,-455.49,Debit,Office Supplies
Amazon Office Desk In-store,-159.67,Debit,Office Supplies
Amazon Office Desk (10/25/2025),-145.43,Debit,Office Supplies
Walmart Printer Ink Online,-239.19,Debit,Office Supplies
Target Office Chair (11/11/2025),-492.8,Debit,Office Supplies
Target Office Chair - NY,-170.07,Debit,Office Supplies
Staples Office Depot In-store,-387.81,Debit,Office Supplies
Amazon Office Desk,-267.05,Debit,Office Supplies
Amazon Office Desk (8/6/2025),-121.98,Debit,Office Supplies
Walmart Printer Ink (2/16/2025),-272.41,Debit,Office Supplies
Best Buy Monitor,-355.07,Debit,Office Supplies
OfficeMax Paper Supplies In-store,-14.58,Debit,Office Supplies
Best Buy Monitor (5/27/2025),-153.66,Debit,Office Supplies
Walmart Printer Ink - TX,-135.57,Debit,Office Supplies
Amazon Office Desk - NY,-283.07,Debit,Office Supplies
Staples Office Depot,-444.36,Debit,Office Supplies
OfficeMax Paper Supplies Online,-157.0,Debit,Office Supplies
Walmart Printer Ink In-store,-479.57,Debit,Office Supplies
Walmart Printer Ink - TX,-462.45,Debit,Office Supplies
Staples Office Depot - CA,-411.08,Debit,Office Supplies
Staples Office Depot In-store,-349.86,Debit,Office Supplies
Best Buy Monitor - CA,-293.71,Debit,Office Supplies
Staples Office Depot In-store,-99.2,Debit,Office Supplies
Target Office Chair Online,-370.35,Debit,Office Supplies
Target Office Chair In-store,-323.45,Debit,Office Supplies
Target Office Chair (1/22/2025),-452.35,Debit,Office Supplies
Staples Office Depot #3044,-111.07,Debit,Office Supplies
Amazon Office Desk In-store,-413.45,Debit,Office Supplies
OfficeMax Paper Supplies - TX,-495.32,Debit,Office Supplies
Walmart Printer Ink #5965,-416.43,Debit,Office Supplies
Best Buy Monitor In-store,-303.11,Debit,Office Supplies
Best Buy Monitor Online,-179.49,Debit,Office Supplies
OfficeMax Paper Supplies,-470.24,Debit,Office Supplies
OfficeMax Paper Supplies #9597,-184.64,Debit,Office Supplies
Best Buy Monitor,-492.04,Debit,Office Supplies
Staples Office Depot #3878,-259.77,Debit,Office Supplies
Staples Office Depot In-store,-427.09,Debit,Office Supplies
Walmart Printer Ink #8652,-329.61,Debit,Office Supplies
Best Buy Monitor In-store,-482.8,Debit,Office Supplies
Amazon Office Desk - CA,-26.59,Debit,Office Supplies
OfficeMax Paper Supplies - NY,-385.46,Debit,Office Supplies
Best Buy Monitor (4/16/2025),-442.54,Debit,Office Supplies
OfficeMax Paper Supplies Online,-464.15,Debit,Office Supplies
Target Office Chair In-store,-496.83,Debit,Office Supplies
Best Buy Monitor (11/18/2025),-442.84,Debit,Office Supplies
Amazon Office Desk,-179.69,Debit,Office Supplies
Walmart Printer Ink #1028,-310.47,Debit,Office Supplies
Walmart Printer Ink Online,-292.28,Debit,Office Supplies
Best Buy Monitor In-store,-430.6,Debit,Office Supplies
Target Office Chair,-383.87,Debit,Office Supplies
Walmart Printer Ink (3/24/2025),-499.78,Debit,Office Supplies
Staples Office Depot In-store,-61.33,Debit,Office Supplies
Target Office Chair In-store,-139.41,Debit,Office Supplies
Staples Office Depot (8/11/2025),-156.07,Debit,Office Supplies
OfficeMax Paper Supplies Online,-494.23,Debit,Office Supplies
Best Buy Monitor Online,-93.6,Debit,Office Supplies
Best Buy Monitor #6704,-155.87,Debit,Office Supplies
Amazon Office Desk In-store,-288.7,Debit,Office Supplies
Walmart Printer Ink,-96.33,Debit,Office Supplies
Staples Office Depot #4647,-369.63,Debit,Office Supplies
Amazon Office Desk,-97.41,Debit,Office Supplies
Target Office Chair - NY,-132.57,Debit,Office Supplies
Best Buy Monitor #2838,-472.29,Debit,Office Supplies
Staples Office Depot,-27.52,Debit,Office Supplies
Amazon Office Desk (2/25/2025),-104.33,Debit,Office Supplies
Staples Office Depot - NY,-201.88,Debit,Office Supplies
Target Office Chair #5508,-97.16,Debit,Office Supplies
OfficeMax Paper Supplies - CA,-491.46,Debit,Office Supplies
Staples Office Depot #7579,-187.02,Debit,Office Supplies
Amazon Office Desk - CA,-306.28,Debit,Office Supplies
Amazon Office Desk (10/26/2025),-13.14,Debit,Office Supplies
Amazon Office Desk,-146.44,Debit,Office Supplies
Target Office Chair - NY,-345.05,Debit,Office Supplies
OfficeMax Paper Supplies (1/1/2025),-490.8,Debit,Office Supplies
OfficeMax Paper Supplies - TX,-8.41,Debit,Office Supplies
Best Buy Monitor #3175,-19.55,Debit,Office Supplies
OfficeMax Paper Supplies - NY,-215.32,Debit,Office Supplies
Target Office Chair - NY,-81.9,Debit,Office Supplies
Best Buy Monitor (2/16/2025),-269.7,Debit,Office Supplies
Best Buy Monitor - NY,-466.84,Debit,Office Supplies
Walmart Printer Ink Online,-368.83,Debit,Office Supplies
Walmart Printer Ink,-376.33,Debit,Office Supplies
Best Buy Monitor #5125,-44.6,Debit,Office Supplies
Staples Office Depot In-store,-304.45,Debit,Office Supplies
Target Office Chair,-280.28,Debit,Office Supplies
Staples Office Depot - NY,-188.3,Debit,Office Supplies
Amazon Office Desk (10/8/2025),-220.86,Debit,Office Supplies
OfficeMax Paper Supplies - TX,-104.83,Debit,Office Supplies
Staples Office Depot Online,-94.3,Debit,Office Supplies
Staples Office Depot - NY,-115.48,Debit,Office Supplies
OfficeMax Paper Supplies - CA,-121.14,Debit,Office Supplies
Target Office Chair (3/5/2025),-270.61,Debit,Office Supplies
Staples Office Depot In-store,-456.89,Debit,Office Supplies
Target Office Chair In-store,-379.37,Debit,Office Supplies
Target Office Chair #8002,-269.25,Debit,Office Supplies
Target Office Chair #7981,-44.17,Debit,Office Supplies
OfficeMax Paper Supplies In-store,-110.06,Debit,Office Supplies
OfficeMax Paper Supplies Online,-372.17,Debit,Office Supplies
Target Office Chair In-store,-80.06,Debit,Office Supplies
Walmart Printer Ink Online,-18.68,Debit,Office Supplies
OfficeMax Paper Supplies - CA,-371.97,Debit,Office Supplies
Staples Office Depot (1/20/2025),-472.75,Debit,Office Supplies
Target Office Chair Online,-139.08,Debit,Office Supplies
Walmart Printer Ink #4378,-180.88,Debit,Office Supplies
Walmart Printer Ink #3974,-211.16,Debit,Office Supplies
OfficeMax Paper Supplies #9219,-146.69,Debit,Office Supplies
Walmart Printer Ink - NY,-435.49,Debit,Office Supplies
Best Buy Monitor (9/18/2025),-235.73,Debit,Office Supplies
Best Buy Monitor,-440.38,Debit,Office Supplies
Target Office Chair #6048,-258.4,Debit,Office Supplies
Amazon Office Desk (1/2/2025),-183.13,Debit,Office Supplies
OfficeMax Paper Supplies In-store,-496.0,Debit,Office Supplies
Best Buy Monitor - CA,-122.41,Debit,Office Supplies
Walmart Printer Ink,-428.18,Debit,Office Supplies
Amazon Office Desk,-350.45,Debit,Office Supplies
Target Office Chair (6/4/2025),-434.97,Debit,Office Supplies
Staples Office Depot In-store,-405.38,Debit,Office Supplies
Walmart Printer Ink - TX,-487.99,Debit,Office Supplies
Target Office Chair (1/27/2025),-93.17,Debit,Office Supplies
Best Buy Monitor,-290.68,Debit,Office Supplies
Amazon Office Desk,-93.89,Debit,Office Supplies
Amazon Office Desk - NY,-475.29,Debit,Office Supplies
Walmart Printer Ink - NY,-355.43,Debit,Office Supplies
Best Buy Monitor,-369.16,Debit,Office Supplies
Walmart Printer Ink (9/3/2025),-308.83,Debit,Office Supplies
Staples Office Depot,-278.6,Debit,Office Supplies
Walmart Printer Ink - CA,-169.71,Debit,Office Supplies
Walmart Printer Ink,-48.86,Debit,Office Supplies
Target Office Chair Online,-55.58,Debit,Office Supplies
Staples Office Depot - TX,-167.18,Debit,Office Supplies
Walmart Printer Ink (4/17/2025),-291.63,Debit,Office Supplies
Staples Office Depot #5066,-144.81,Debit,Office Supplies
Walmart Printer Ink,-273.5,Debit,Office Supplies
Staples Office Depot (1/1/2025),-214.42,Debit,Office Supplies
Amazon Office Desk (10/11/2025),-281.71,Debit,Office Supplies
Amazon Office Desk - TX,-277.43,Debit,Office Supplies
Amazon Office Desk - NY,-468.17,Debit,Office Supplies
Staples Office Depot (1/28/2025),-182.55,Debit,Office Supplies
Walmart Printer Ink,-476.79,Debit,Office Supplies
Amazon Office Desk (4/15/2025),-420.65,Debit,Office Supplies
Staples Office Depot #3914,-268.18,Debit,Office Supplies
Best Buy Monitor (1/28/2025),-150.22,Debit,Office Supplies
OfficeMax Paper Supplies #7625,-401.79,Debit,Office Supplies
Staples Office Depot #1295,-333.37,Debit,Office Supplies
Walmart Printer Ink #8140,-5.89,Debit,Office Supplies
OfficeMax Paper Supplies - CA,-299.63,Debit,Office Supplies
Target Office Chair,-203.05,Debit,Office Supplies
Walmart Printer Ink - CA,-120.94,Debit,Office Supplies
Target Office Chair #7197,-150.2,Debit,Office Supplies
Walmart Printer Ink,-59.31,Debit,Office Supplies
Walmart Printer Ink,-239.66,Debit,Office Supplies
Walmart Printer Ink (9/21/2025),-240.57,Debit,Office Supplies
Amazon Office Desk #5678,-39.73,Debit,Office Supplies
OfficeMax Paper Supplies,-268.02,Debit,Office Supplies
Amazon Office Desk Online,-413.85,Debit,Office Supplies
OfficeMax Paper Supplies #9634,-29.72,Debit,Office Supplies
Staples Office Depot In-store,-452.4,Debit,Office Supplies
Target Office Chair #8258,-25.34,Debit,Office Supplies
OfficeMax Paper Supplies - NY,-321.79,Debit,Office Supplies
Best Buy Monitor,-158.59,Debit,Office Supplies
OfficeMax Paper Supplies - TX,-386.84,Debit,Office Supplies
Amazon Office Desk (1/11/2025),-222.18,Debit,Office Supplies
Amazon Office Desk In-store,-136.44,Debit,Office Supplies
Best Buy Monitor #6298,-233.54,Debit,Office Supplies
OfficeMax Paper Supplies (5/9/2025),-192.44,Debit,Office Supplies
Walmart Printer Ink (10/16/2025),-148.87,Debit,Office Supplies
Target Office Chair (7/2/2025),-314.78,Debit,Office Supplies
Target Office Chair Online,-5.52,Debit,Office Supplies
Amazon Office Desk (7/9/2025),-483.22,Debit,Office Supplies
Amazon Office Desk #1146,-168.67,Debit,Office Supplies
Target Office Chair,-273.27,Debit,Office Supplies
